0	141.31
1	198.22
2	282.96
3	403.73
4	581.49
5	857.29
6	915.93
7	932.97
8	947.24
9	972.06
10	999.37
11	1016.46
12	1033.74
13	1044.28
14	1060.47
15	1086.24
16	1115.24
17	1140.44
18	1167.35
19	1178.91
20	1190.58
21	1207.37
22	1225.12
23	1244.23
24	1260.90
25	1273.89
26	1278.35
27	1294.46
28	1310.25
29	1325.84
30	1340.56
31	1346.46
32	1348.48
33	1352.53
34	1356.86
35	1363.24
36	1379.33
37	1386.23
38	1393.30
39	1405.56
40	1411.32
41	1418.94
42	1422.06
43	1421.78
44	1422.63
45	1425.90
46	1428.32
47	1434.46
48	1444.64
49	1451.29
50	1456.22
51	1459.71
52	1467.01
53	1467.30
54	1465.54
55	1458.07
56	1454.86
57	1455.15
58	1453.40
59	1458.20
60	1468.41
61	1483.83
62	1500.15
63	1508.55
64	1513.08
65	1515.95
66	1532.47
67	1541.05
68	1545.83
69	1564.23
70	1579.09
71	1588.56
72	1598.41
73	1600.49
74	1604.01
75	1610.75
76	1610.91
77	1614.62
78	1640.62
79	1662.11
80	1665.93
81	1668.26
82	1673.60
83	1683.47
84	1693.07
85	1700.86
86	1707.32
87	1717.22
88	1724.26
89	1733.23
90	1756.28
91	1768.57
92	1773.52
93	1788.24
94	1800.94
95	1812.65
96	1822.08
97	1828.64
98	1839.61
99	1854.33
100	1858.22
101	1866.02
102	1888.23
103	1900.50
104	1914.18
105	1939.26
106	1997.83
107	2039.78
108	2085.68
109	2118.43
110	2144.49
111	2165.29
112	2178.50
113	2175.23
114	2179.58
115	2186.99
116	2204.05
117	2210.44
118	2217.96
119	2229.49
120	2246.43
121	2260.13
122	2270.75
123	2279.15
124	2290.77
125	2307.03
126	2328.02
127	2344.08
128	2351.82
129	2362.17
130	2378.47
131	2398.92
132	2412.83
133	2427.07
134	2441.87
135	2463.11
136	2475.18
137	2474.68
138	2480.87
139	2485.09
140	2493.79
141	2512.49
142	2526.31
143	2535.40
144	2550.36
145	2560.82
146	2571.83
147	2577.23
148	2579.81
149	2574.39
150	2579.28
151	2580.57
152	2585.99
153	2594.52
154	2602.56
155	2615.05
156	2626.56
157	2638.12
158	2647.88
159	2654.50
160	2661.93
161	2669.38
162	2675.79
163	2688.37
164	2693.21
165	2701.29
166	2711.55
167	2731.62
168	2746.37
169	2759.83
170	2773.08
171	2788.33
172	2810.36
173	2831.16
174	2846.16
175	2854.13
176	2861.55
177	2874.43
178	2884.78
179	2892.86
180	2906.74
181	2922.73
182	2928.57
183	2942.63
184	2956.46
185	2967.10
186	2974.22
187	2978.68
188	2985.83
189	2994.19
190	3006.47
191	3017.59
192	3040.22
193	3063.93
194	3079.86
195	3097.42
196	3110.74
197	3110.74
198	3111.05
199	3112.29
200	3126.29
201	3149.74
202	3175.88
203	3195.89
204	3222.42
205	3248.20
206	3273.86
207	3299.07
208	3314.58
209	3319.55
210	3324.86
211	3337.16
212	3354.85
213	3369.28
214	3386.80
215	3403.73
216	3422.79
217	3438.19
218	3445.41
219	3467.46
220	3479.94
221	3482.72
222	3497.70
223	3512.04
224	3532.06
225	3552.90
226	3574.22
227	3602.46
228	3633.44
229	3655.24
230	3672.42
231	3692.62
232	3706.28
233	3715.92
234	3717.03
235	3725.95
236	3738.99
237	3760.30
238	3780.61
239	3815.39
240	3836.37
241	3862.84
242	3898.38
243	3924.50
244	3942.55
245	3958.32
246	3958.72
247	3968.62
248	3991.24
249	4008.00
250	4028.44
251	4059.86
252	4110.20
253	4160.34
254	4215.26
255	4245.19
256	4276.60
257	4310.39
258	4337.11
259	4346.65
260	4370.12
261	4405.95
262	4450.45
263	4493.17
264	4550.23
265	4591.18
266	4610.92
267	4639.05
268	4675.23
269	4691.59
270	4715.99
271	4736.74
272	4740.53
273	4752.86
274	4761.42
275	4775.70
276	4793.85
277	4809.67
278	4821.69
279	4828.44
280	4843.41
281	4832.27
282	4843.87
283	4853.07
284	4860.83
285	4881.25
286	4894.92
287	4916.46
288	4930.72
289	4946.50
290	4950.95
291	4961.84
292	4981.69
293	5044.46
294	5061.11
295	5056.56
